key,value
"/developers/10betterpages-gmbh","10betterpages GmbH"
"/developers/115-com","115.com"
"/developers/2345-com","2345.com"
"/developers/8pecxstudios","8pecxstudios"
"/developers/a6-corp","A6 Corp"
"/developers/abonti-com","abonti.com"
"/developers/access","Access"
"/developers/adaptivebee-sasu","AdaptiveBee SASU"
"/developers/adbeat-com","adbeat.com"
"/developers/addthis-com","AddThis.com"
"/developers/adobe-systems-incorporated","Adobe Systems Incorporated"
"/developers/adscanner-tv","adscanner.tv"
"/developers/agilebits-inc","AgileBits, Inc."
"/developers/ahrefs-pte-ltd","Ahrefs Pte Ltd"
"/developers/airwatch-llc","AirWatch LLC"
"/developers/alexa-internet-inc","Alexa Internet, Inc"
"/developers/alexander-clauss","Alexander Clauss"
"/developers/aliaksandr-valialkin","Aliaksandr Valialkin"
"/developers/alibaba","Alibaba"
"/developers/aloha-mobile-ltd","Aloha Mobile Ltd"
"/developers/alphaseobot-com","alphaseobot.com"
"/developers/amazon-com-inc","Amazon.com, Inc."
"/developers/america-online-inc","America Online, Inc."
"/developers/anderson-che","Anderson Che"
"/developers/andrew-horton","Andrew Horton"
"/developers/aol","AOL"
"/developers/apple-inc","Apple Inc"
"/developers/apus-group","APUS-Group"
"/developers/archive-org","archive.org"
"/developers/archiveteam","ArchiveTeam"
"/developers/ask-com","Ask.com"
"/developers/atsushi-jike","Atsushi Jike"
"/developers/automattic","Automattic"
"/developers/avant-force","Avant Force"
"/developers/avast-software-s-r-o","AVAST Software s.r.o."
"/developers/avira-operations-gmbh-co-kg","Avira Operations GmbH & Co. KG."
"/developers/axandra-gmbh","Axandra GmbH"
"/developers/baidu","Baidu"
"/developers/beamrise-team","Beamrise Team"
"/developers/begun-ru","begun.ru"
"/developers/blackboard-inc","Blackboard Inc."
"/developers/blekko-inc","Blekko Inc."
"/developers/blizzard-entertainment-inc","Blizzard Entertainment Inc"
"/developers/bloglovin-com","bloglovin.com"
"/developers/bloop-s-r-l","Bloop S.R.L."
"/developers/blue-link-labs","Blue Link Labs"
"/developers/boardreader","BoardReader"
"/developers/brandverity","BrandVerity"
"/developers/bravo-unicorn-pte-ltd","BRAVO UNICORN PTE LTD"
"/developers/browsershots-org","browsershots.org"
"/developers/browzar-com","browzar.com"
"/developers/callpod-inc","Callpod Inc."
